x,No intervention,Indirect_entropy,g_degree,hg_degree,Uniform,g_pr,Direct_entropy
113,0.7636000000000001,0.5986000000000001,0.5655,0.11939999999999999,0.5457500000000001,0.59485,0.5346500000000001
114,0.74935,0.5936999999999999,0.5693999999999999,0.11865,0.53305,0.59505,0.53775
115,0.71025,0.56385,0.5426000000000001,0.11355,0.5058499999999999,0.5683,0.5140499999999999
116,0.66165,0.5287999999999999,0.5096,0.10505,0.47230000000000005,0.5309999999999999,0.4770499999999999
117,0.7399000000000001,0.5823999999999999,0.5537500000000001,0.1166,0.52885,0.5749999999999998,0.51665
118,0.7619499999999999,0.5969,0.5612499999999999,0.11984999999999998,0.5420499999999999,0.5933999999999999,0.52625
119,0.7620999999999999,0.5943499999999999,0.5624999999999999,0.1183,0.5386,0.593,0.5326000000000002
120,0.7528499999999999,0.5862999999999998,0.5669500000000001,0.11515,0.53135,0.5924999999999999,0.5363
121,0.7152000000000001,0.5619499999999998,0.54295,0.11025,0.50505,0.5644,0.51405
122,0.6670499999999999,0.5237499999999999,0.5069,0.10419999999999999,0.4751500000000002,0.52395,0.48325000000000007
123,0.73395,0.57805,0.5445,0.11544999999999998,0.53135,0.5709500000000001,0.5136999999999998
124,0.7506999999999999,0.5887,0.55275,0.11654999999999997,0.53975,0.5846999999999998,0.5252
125,0.76175,0.6,0.5606499999999999,0.11989999999999998,0.5431499999999999,0.5941999999999998,0.53705
126,0.7519,0.5932000000000001,0.5652,0.11854999999999997,0.5361,0.5964999999999999,0.53365
127,0.7140500000000001,0.569,0.5388,0.11245000000000001,0.5103000000000001,0.5682499999999998,0.5106499999999999
128,0.6633000000000002,0.5321499999999999,0.5019,0.10765000000000002,0.47470000000000007,0.5338,0.4821
129,0.7432,0.59295,0.5508499999999998,0.1176,0.5358,0.5799000000000001,0.52395
130,0.76595,0.6016000000000001,0.5590499999999998,0.11884999999999998,0.5404500000000001,0.5902499999999999,0.53645
131,0.7638499999999999,0.5986,0.5613999999999999,0.11835,0.5435000000000001,0.5927999999999999,0.5349499999999999
132,0.75525,0.59485,0.5603499999999999,0.1183,0.5412999999999999,0.5932499999999999,0.5364
133,0.7153500000000002,0.5641999999999999,0.5361499999999999,0.11105000000000001,0.5123,0.56745,0.51
134,0.6656500000000001,0.5289000000000001,0.5038,0.10485000000000003,0.4801500000000001,0.5289500000000001,0.48430000000000006
135,0.7429000000000001,0.5811999999999999,0.5486500000000001,0.11549999999999998,0.5365,0.5779999999999998,0.52265
136,0.75615,0.59065,0.5519000000000001,0.11695,0.54025,0.5843,0.5271999999999999
137,0.7608499999999999,0.59905,0.5607,0.11835,0.5403,0.5905,0.5322500000000001
138,0.75235,0.5952000000000001,0.56255,0.11749999999999998,0.5351,0.5951000000000001,0.5361499999999999
139,0.7165,0.5696999999999999,0.5379499999999999,0.1137,0.5072500000000001,0.5683499999999999,0.51385
140,0.67005,0.5320000000000001,0.5065000000000002,0.1052,0.47685000000000005,0.5333,0.48305
141,0.7387999999999998,0.5813499999999998,0.54445,0.11624999999999999,0.53235,0.5760500000000001,0.5178
142,0.75295,0.5958,0.5556000000000001,0.11669999999999998,0.5411499999999999,0.5890000000000001,0.5277999999999999
143,0.7564999999999997,0.5997999999999999,0.5570499999999999,0.11944999999999999,0.5435999999999999,0.5919999999999999,0.53445
144,0.749,0.59195,0.56145,0.11815,0.5403000000000001,0.5932499999999999,0.5328499999999999
145,0.71425,0.5643499999999999,0.5365,0.1121,0.5121499999999999,0.56415,0.5095000000000001
146,0.66535,0.5295500000000001,0.5040500000000001,0.10464999999999999,0.4790000000000001,0.52795,0.47785
147,0.7361500000000001,0.5803999999999999,0.5483999999999999,0.11444999999999998,0.5330499999999999,0.5739500000000001,0.5187499999999998
148,0.75115,0.5918000000000001,0.5546,0.11610000000000001,0.53805,0.5839000000000001,0.5243999999999999
149,0.7606999999999999,0.5953,0.5608,0.11875,0.54235,0.5923999999999998,0.53305
150,0.75005,0.5943499999999998,0.5633999999999999,0.118,0.5341500000000001,0.5918499999999999,0.5335499999999999
151,0.7129,0.5674499999999999,0.5419,0.11265,0.505,0.5667500000000001,0.5094
152,0.6679000000000002,0.53045,0.50975,0.10625,0.46925000000000006,0.5322500000000001,0.47915
153,0.7365999999999998,0.5851499999999998,0.54735,0.11439999999999999,0.5267999999999999,0.5739,0.5192499999999999
154,0.7538499999999999,0.5889499999999999,0.5546999999999999,0.1173,0.53925,0.58185,0.5273999999999999
155,0.7565,0.5973499999999999,0.56115,0.11775,0.54135,0.5873999999999999,0.5307000000000001
156,0.7520499999999999,0.59015,0.5639000000000001,0.11905000000000002,0.5368999999999999,0.5904999999999999,0.5297999999999999
157,0.7150000000000001,0.5591999999999999,0.53765,0.1143,0.5085999999999999,0.5684,0.50915
158,0.6668999999999999,0.5250500000000001,0.5041999999999999,0.1068,0.47680000000000006,0.53305,0.47755000000000003
159,0.74105,0.5792,0.5453499999999999,0.11725,0.53405,0.5783999999999999,0.5165999999999998
160,0.7561,0.5901,0.5565999999999999,0.11755,0.5381499999999999,0.5843499999999999,0.5282499999999999
161,0.7588000000000001,0.5947500000000001,0.5608000000000001,0.11925,0.545,0.5890999999999998,0.5300499999999999
162,0.7497,0.5916499999999999,0.5633499999999999,0.11964999999999999,0.5351,0.5917499999999999,0.5318500000000002
163,0.7132000000000001,0.5610000000000002,0.5386,0.11399999999999999,0.5085499999999998,0.56825,0.5073500000000001
164,0.6706999999999999,0.5272,0.5068999999999999,0.10670000000000002,0.4747,0.53305,0.4795999999999999
165,0.74195,0.58445,0.5496999999999999,0.1169,0.5340499999999999,0.5775,0.522
166,0.7567999999999999,0.5927999999999999,0.5610999999999999,0.11895,0.5435999999999999,0.59005,0.53225
167,0.7589499999999999,0.5971,0.56425,0.12044999999999999,0.5428,0.59505,0.53125
168,0.7526999999999999,0.5900499999999999,0.5633499999999999,0.11949999999999998,0.5413,0.5954999999999999,0.5332
169,0.7126499999999998,0.56185,0.5368999999999999,0.1142,0.5122,0.5673000000000001,0.5125
170,0.6667500000000001,0.5254500000000002,0.5022,0.1081,0.48125,0.5306500000000002,0.48045
171,0.7405999999999999,0.5793999999999999,0.5455999999999999,0.11584999999999998,0.5342,0.57115,0.5162
172,0.7566499999999999,0.5893999999999999,0.55585,0.11784999999999998,0.5418499999999999,0.5835999999999999,0.5294999999999999
173,0.7610500000000001,0.5978999999999999,0.5640499999999999,0.11875,0.5460499999999999,0.5902999999999999,0.5353999999999999
174,0.7514999999999998,0.59175,0.568,0.12055,0.5356000000000002,0.5945500000000001,0.53115
175,0.71265,0.5662499999999999,0.5395,0.1139,0.5055,0.56675,0.509
176,0.666,0.5332999999999999,0.5078500000000001,0.10675000000000001,0.4750500000000001,0.5341,0.47585000000000005
177,0.7394000000000001,0.5851499999999998,0.5491999999999999,0.1153,0.5323499999999999,0.5778,0.5184500000000001
178,0.7593,0.5994,0.56,0.1182,0.5447500000000001,0.5925,0.5300499999999999
179,0.7627999999999998,0.6011,0.5662499999999999,0.11875,0.5447,0.5955,0.5331999999999999
180,0.7536000000000002,0.59405,0.56335,0.11755,0.53775,0.5962499999999998,0.5338499999999999
181,0.7118500000000001,0.5686500000000001,0.5407,0.11299999999999999,0.50785,0.5681999999999999,0.5118499999999999
182,0.6653999999999999,0.5354500000000001,0.5049499999999999,0.10625,0.47515,0.5361,0.48355
183,0.74075,0.5837000000000001,0.5465499999999999,0.1166,0.53175,0.5771,0.5187999999999999
184,0.7565999999999999,0.5911,0.55765,0.11704999999999999,0.54125,0.58375,0.532
185,0.7624,0.5917499999999999,0.5605999999999999,0.11844999999999999,0.5445,0.58925,0.5323
186,0.7553999999999998,0.5874999999999999,0.5624,0.11949999999999998,0.5359499999999999,0.59175,0.53445
