x,No intervention,hg_pr,g_degree,hg_degree,Uniform,g_pr,Indirect_entropy,Direct_entropy
65,0.8717504332755632,0.012131715771230503,0.24956672443674177,0.005199306759098787,0.0,0.06932409012131716,0.0017331022530329288,0.24783362218370883
66,0.902946273830156,0.012131715771230503,0.24436741767764297,0.005199306759098787,0.0,0.08145580589254767,0.0017331022530329288,0.2582322357019064
67,0.9272097053726169,0.010398613518197574,0.24956672443674177,0.005199306759098787,0.0,0.09012131715771231,0.0017331022530329288,0.268630849220104
68,0.9168110918544194,0.024263431542461005,0.24956672443674177,0.005199306759098787,0.0,0.10051993067590988,0.0017331022530329288,0.31542461005199307
69,0.9376083188908145,0.03986135181975736,0.24956672443674177,0.005199306759098787,0.0,0.11091854419410745,0.0017331022530329288,0.3275563258232236
70,0.9445407279029463,0.045060658578856154,0.24610051993067592,0.005199306759098787,0.0,0.12131715771230503,0.0017331022530329288,0.3396880415944541
71,0.9410745233968805,0.05199306759098787,0.24956672443674177,0.005199306759098787,0.0,0.12998266897746968,0.0017331022530329288,0.34488734835355284
72,0.9462738301559792,0.06412478336221837,0.2564991334488735,0.005199306759098787,0.0,0.14558058925476602,0.0017331022530329288,0.3483535528596187
73,0.9480069324090121,0.07279029462738301,0.2651646447140381,0.005199306759098787,0.0,0.1559792027729636,0.0017331022530329288,0.3483535528596187
74,0.9636048526863085,0.08145580589254767,0.292894280762565,0.005199306759098787,0.0,0.20103986135181975,0.0017331022530329288,0.35181975736568455
75,0.9445407279029463,0.12998266897746968,0.31542461005199307,0.005199306759098787,0.0,0.25476603119584057,0.0017331022530329288,0.36048526863084923
76,0.951473136915078,0.2045060658578856,0.3292894280762565,0.005199306759098787,0.0,0.2772963604852686,0.0017331022530329288,0.36568457538994803
77,0.9722703639514731,0.24956672443674177,0.34488734835355284,0.005199306759098787,0.0,0.29116117850953205,0.0017331022530329288,0.3778162911611785
78,0.9688041594454073,0.2703639514731369,0.3466204506065858,0.005199306759098787,0.0,0.29636048526863085,0.0017331022530329288,0.38648180242634317
79,0.9688041594454073,0.28942807625649913,0.3431542461005199,0.005199306759098787,0.0,0.30675909878682844,0.0017331022530329288,0.4003466204506066
80,0.9584055459272097,0.29982668977469673,0.3466204506065858,0.005199306759098787,0.0,0.3292894280762565,0.0017331022530329288,0.4124783362218371
81,0.9705372616984402,0.3119584055459272,0.35701906412478335,0.005199306759098787,0.0,0.3292894280762565,0.0017331022530329288,0.42114384748700173
82,0.9653379549393414,0.3188908145580589,0.35181975736568455,0.005199306759098787,0.0,0.3396880415944541,0.0017331022530329288,0.42807625649913345
83,0.9601386481802426,0.341421143847487,0.35181975736568455,0.005199306759098787,0.0,0.3882149046793761,0.0017331022530329288,0.42634315424610053
84,0.9376083188908145,0.37954939341421146,0.36221837088388215,0.0034662045060658577,0.0,0.4090121317157712,0.0017331022530329288,0.43154246100519933
85,0.9445407279029463,0.3882149046793761,0.3708838821490468,0.0034662045060658577,0.0,0.4020797227036395,0.0017331022530329288,0.43847487001733104
86,0.9410745233968805,0.3934142114384749,0.36915077989601386,0.0034662045060658577,0.0,0.4055459272097054,0.0017331022530329288,0.44540727902946275
87,0.9480069324090121,0.4055459272097054,0.37261698440207974,0.0034662045060658577,0.0,0.4038128249566724,0.0017331022530329288,0.4436741767764298
88,0.951473136915078,0.41074523396880414,0.37954939341421146,0.005199306759098787,0.0,0.41594454072790293,0.0017331022530329288,0.45233968804159447
89,0.9480069324090121,0.42114384748700173,0.3847487001733102,0.005199306759098787,0.0,0.4194107452339688,0.0017331022530329288,0.462738301559792
90,0.9532062391681109,0.4194107452339688,0.3708838821490468,0.005199306759098787,0.0,0.43327556325823224,0.0017331022530329288,0.4904679376083189
91,0.9566724436741768,0.41074523396880414,0.37435008665511266,0.012131715771230503,0.0,0.43674176776429807,0.0017331022530329288,0.5008665511265165
92,0.9532062391681109,0.42287694974003465,0.39168110918544197,0.019064124783362217,0.0,0.43847487001733104,0.0017331022530329288,0.49393414211438474
93,0.9549393414211439,0.41767764298093585,0.4090121317157712,0.024263431542461005,0.0,0.44194107452339687,0.0017331022530329288,0.5043327556325823
